"city","area","code1","cunli","gen_0102","gen_0304","gen_0506"
"高雄市","阿蓮區","A6423-01-001","中路村",62402,62037,85453
"高雄市","阿蓮區","A6423-01-002","中路村",71549,73151,84485
"高雄市","阿蓮區","A6423-01-003","中路村",6685,6986,8924
"高雄市","阿蓮區","A6423-01-004","中路村",38826,45282,48844
"高雄市","阿蓮區","A6423-01-006","中路村",97911,106875,129538
"高雄市","阿蓮區","A6423-01-007","石安村",109986,121909,124266
"高雄市","阿蓮區","A6423-01-009","中路村",108227,118722,140753
"高雄市","阿蓮區","A6423-01-015","中路村",118799,125357,155808
"高雄市","阿蓮區","A6423-01-018","中路村",56981,62310,73473
"高雄市","阿蓮區","A6423-02-005","石安村",80984,87002,88721
"高雄市","阿蓮區","A6423-02-008","石安村",35680,40834,38825
"高雄市","阿蓮區","A6423-02-010","青旗村",69394,74187,76390
"高雄市","阿蓮區","A6423-02-011","青旗村",85934,92235,93377
"高雄市","阿蓮區","A6423-02-012","青旗村",35385,38998,39353
"高雄市","阿蓮區","A6423-02-013","石安村",97264,107495,114796
"高雄市","阿蓮區","A6423-02-014","青旗村",49110,54913,54162
"高雄市","阿蓮區","A6423-02-016","青旗村",114362,127198,129239
"高雄市","阿蓮區","A6423-03-017","阿蓮村",97001,107546,121492
"高雄市","阿蓮區","A6423-03-020","阿蓮村",128916,125491,142174
"高雄市","阿蓮區","A6423-03-021","阿蓮村",14289,15058,15887
"高雄市","阿蓮區","A6423-03-024","阿蓮村",157676,146749,165914
"高雄市","阿蓮區","A6423-03-025","阿蓮村",74904,84469,90527
"高雄市","阿蓮區","A6423-03-027","阿蓮村",132771,147242,167852
"高雄市","阿蓮區","A6423-03-029","阿蓮村",65638,77012,91550
"高雄市","阿蓮區","A6423-03-034","阿蓮村",99655,119426,129550
"高雄市","阿蓮區","A6423-04-022","清蓮村",54396,57005,60314
"高雄市","阿蓮區","A6423-04-031","清蓮村",79341,84843,93424
"高雄市","阿蓮區","A6423-04-033","和蓮村",146456,154408,160897
"高雄市","阿蓮區","A6423-04-035","清蓮村",63091,65884,69917
"高雄市","阿蓮區","A6423-04-036","阿蓮村",81790,81191,91022
"高雄市","阿蓮區","A6423-04-037","清蓮村",94631,99005,108030
"高雄市","阿蓮區","A6423-04-039","和蓮村",64095,71188,70160
"高雄市","阿蓮區","A6423-05-032","阿蓮村",65798,76202,89871
"高雄市","阿蓮區","A6423-05-038","阿蓮村",143201,163196,182575
"高雄市","阿蓮區","A6423-05-040","阿蓮村",136360,148137,177980
"高雄市","阿蓮區","A6423-05-043","南蓮村",111553,114771,128673
"高雄市","阿蓮區","A6423-05-046","南蓮村",67487,69234,71842
"高雄市","阿蓮區","A6423-05-047","南蓮村",43723,44294,47379
"高雄市","阿蓮區","A6423-05-054","南蓮村",126989,128455,138897
"高雄市","阿蓮區","A6423-06-041","清蓮村",92480,87946,96775
"高雄市","阿蓮區","A6423-06-045","南蓮村",105301,104607,123311
"高雄市","阿蓮區","A6423-06-048","南蓮村",41438,43125,44340
"高雄市","阿蓮區","A6423-06-050","清蓮村",120980,121343,130880
"高雄市","阿蓮區","A6423-06-055","南蓮村",49153,54073,59371
"高雄市","阿蓮區","A6423-06-056","和蓮村",150641,154272,168651
"高雄市","阿蓮區","A6423-06-057","清蓮村",96513,95990,104298
"高雄市","阿蓮區","A6423-06-059","南蓮村",65894,71227,71985
"高雄市","阿蓮區","A6423-06-061","南蓮村",10358,11263,12171
"高雄市","阿蓮區","A6423-07-028","和蓮村",127457,135504,141514
"高雄市","阿蓮區","A6423-07-042","和蓮村",40929,42857,46194
"高雄市","阿蓮區","A6423-07-049","和蓮村",92831,94447,101532
"高雄市","阿蓮區","A6423-07-051","港後村",83011,84350,93221
"高雄市","阿蓮區","A6423-07-052","和蓮村",126574,128834,138710
"高雄市","阿蓮區","A6423-07-062","港後村",128337,154121,171839
"高雄市","阿蓮區","A6423-07-063","港後村",79432,96141,105390
"高雄市","阿蓮區","A6423-07-065","港後村",30720,35931,41084
"高雄市","阿蓮區","A6423-08-019","阿蓮村",120813,139086,139269
"高雄市","阿蓮區","A6423-08-023","阿蓮村",79839,93690,95196
"高雄市","阿蓮區","A6423-08-030","阿蓮村",112268,132020,135908
"高雄市","阿蓮區","A6423-08-044","峰山村",92405,98399,103557
"高雄市","阿蓮區","A6423-08-053","南蓮村",66675,71082,73361
"高雄市","阿蓮區","A6423-08-058","峰山村",82395,81194,91983
"高雄市","阿蓮區","A6423-08-060","峰山村",76212,79879,87454
"高雄市","阿蓮區","A6423-08-068","峰山村",111556,114866,122401
"高雄市","阿蓮區","A6423-08-072","崗山村",53851,48522,56778
"高雄市","阿蓮區","A6423-08-074","復安村",7440,7566,8486
"高雄市","阿蓮區","A6423-09-064","南蓮村",126514,116640,125027
"高雄市","阿蓮區","A6423-09-066","清蓮村",57806,57470,65514
"高雄市","阿蓮區","A6423-09-067","港後村",97793,101585,113042
"高雄市","阿蓮區","A6423-09-069","崗山村",63170,64682,72111
"高雄市","阿蓮區","A6423-09-070","港後村",199617,218327,248628
"高雄市","阿蓮區","A6423-09-071","崗山村",49509,51754,54662
"高雄市","阿蓮區","A6423-09-073","崗山村",81390,87600,88352
"高雄市","阿蓮區","A6423-09-077","玉庫村",3719,2875,3637
"高雄市","阿蓮區","A6423-09-079","玉庫村",28999,26868,32089
"高雄市","阿蓮區","A6423-10-075","復安村",15386,16073,16129
"高雄市","阿蓮區","A6423-10-076","復安村",89987,94870,102825
"高雄市","阿蓮區","A6423-10-078","復安村",86473,92283,98270
"高雄市","阿蓮區","A6423-10-080","復安村",82387,83317,99839
"高雄市","阿蓮區","A6423-10-081","復安村",149366,141203,162816
"高雄市","阿蓮區","A6423-10-082","玉庫村",85097,83995,98506
"高雄市","阿蓮區","A6423-10-083","復安村",114056,119063,125699
"高雄市","阿蓮區","A6423-10-084","玉庫村",181155,189232,200481
"高雄市","大寮區","A6414-02-013","後庄村",77589,77355,85767
"高雄市","大寮區","A6414-02-017","後庄村",78179,76326,82181
"高雄市","大寮區","A6414-02-018","後庄村",67366,68348,74007
"高雄市","大寮區","A6414-02-020","後庄村",135043,133074,144026
"高雄市","大寮區","A6414-02-025","後庄村",71998,69712,76532
"高雄市","大寮區","A6414-02-026","後庄村",119710,115978,129629
"高雄市","大寮區","A6414-02-032","後庄村",33451,28317,34145
"高雄市","大寮區","A6414-03-033","後庄村",10148,8287,9144
